user_id,user_name,member_since
ur0032412,Buckywunder,2000-01
ur0033913,Sylviastel,2001-01
ur0035229,Spleen,2001-01
ur0043337,Dave-79,2001-09
ur0058605,Dan-56,1999-03
ur0064529,dalton2,2000-07
ur0068069,Nuncio,1999-03
ur0068788,Boyo-2,2000-03
ur0075285,KFL,1999-02
ur0078412,Neve_Fan,2001-12
ur0087033,braco,2000-11
ur0088076,mermatt,2001-01
ur0088115,Keegen,2001-03
ur0090767,Maniac-9,1999-08
ur0091195,Levi-5,2001-06
ur0091245,Brad K.,2001-01
ur0105164,Willie-12,1999-09
ur0108258,delbomber,2001-01
ur0132424,Feistfan,1999-02
ur0137908,didi-5,1999-12
ur0139258,BrandtSponseller,2000-11
ur0144789,bibi-3,2001-01
ur0145962,Darren-12,2000-04
ur0151385,Chris J.,2000-02
ur0157630,Dar Star,1999-11
ur0158253,MovieAlien,2000-01
ur0166317,len-21,2001-01
ur0174527,jojofla,2001-01
ur0174908,schnad,1999-10
ur0176092,Nazi_Fighter_David,1999-10
ur0176365,Nermal-3,2000-03
ur0182366,karma-9,1999-08
ur0182733,EThompsonUMD,1999-05
ur0192715,AS-5,2001-11
ur0193972,Sara-18,2001-02
ur0200644,DanB-4,2001-01
ur0203461,MattB-5,2001-01
ur0209516,critic-22,2000-03
ur0218695,b-a-h TNT-6,2000-11
ur0220554,Doctor_Bombay,2000-02
ur0226855,DennisLittrell,1999-06
ur0257957,Coxer99,1999-02
ur0263226,Phil_H,2000-05
ur0265899,EyeDunno,1999-09
ur0297700,Worob,1999-04
ur0327799,tccandler,2000-02
ur0345596,wellthatswhatithinkanyway,2000-11
ur0355122,baumer,2000-04
ur0365713,CharltonBoy,2000-03
ur0401412,Loophole-3,1999-07
ur0410900,Stud-12,1999-08
ur0421533,Danimal-7,1999-08
ur0437174,OllieSuave-007,1999-09
ur0453068,Quinoa1984,2000-03
ur0453228,mm-39,1999-11
ur0460091,Bob Pr.,2000-02
ur0463200,preppy-3,1999-10
ur0477331,mcarmona,2000-10
ur0562732,Anonymous_Maxine,2000-08
ur0579260,andalynne,2000-06
ur0588991,ballen8,2000-02
ur0589875,deputydoofus,2000-01
ur0599605,vukodlak,2000-02
ur0605857,eibon09,2000-02
ur0609312,drdos43,2000-03
ur0643062,tedg,2000-03
ur0645286,jomipira,2000-03
ur0650255,sddavis63,2000-04
ur0668851,Andrew Devonshire,2000-06
ur0688559,tfrizzell,2000-04
ur0801129,jchandbab,2000-07
ur0821456,mentalcritic,2000-08
ur0842118,reismark,2000-08
ur0874373,lambiepie-2,2000-09
ur0887997,t.franco,2000-10
ur0907899,cubiegirl,2000-11
ur0915482,hall895,2000-10
ur0926576,daveisit,2000-11
ur0937743,george.schmidt,2000-11
ur0945066,BA_Harrison,2001-06
ur0968789,mark.waltz,2001-02
ur0989035,moonspinner55,2001-01
ur0997166,weswalker,2001-01
ur1002035,bob the moo,2001-02
ur1003471,ProperCharlie,2001-01
ur100389096,sarabagi,2019-03
ur100419895,efee_puiyi,2019-03
ur1005460,speedreid,2001-02
ur102072508,danbull-20427,2019-04
ur102089299,navidveradi,2019-04
ur102605581,MrPupkin,2019-05
ur103303049,Clumsy14,2019-05
ur10334028,ackstasis,2006-04
ur104509847,AgustinCesaratti,2019-06
ur1046557,Howlin Wolf,2001-02
ur104792470,nikitalinivenko,2019-06
ur1048771,Doylenf,2001-02
ur1052098,dr_foreman,2001-02
ur105453277,codygdietrich,2019-07
ur105506099,HabibieHakim123,2019-07
ur10583368,springsunnywinter,2006-05
ur105881058,tikywts,2019-07
ur105901481,ahmedelamings,2019-07
ur106864482,jcpixiemedia,2019-08
ur107418055,nickenchuggets,2019-09
ur107967785,gcanfield-29727,2019-09
ur1081848,v_goggo,2001-03
ur108477328,saishdesai,2019-10
ur108519953,Aegontheconqueror,2019-10
ur109056839,adambilimadami,2019-10
ur1092896,Vickiefriends,2001-03
ur109327682,bobcreepera,2019-10
ur1098460,Galina_movie_fan,2001-03
ur10986404,caa821,2006-06
ur111408834,Ruiqy,2019-12
ur111479521,dickinsonjason-34081,2019-12
ur1117555,ericjg623,2001-03
ur111812369,laurin-02109,2019-12
ur11201219,vampi1960,2006-06
ur112076118,OguzhanDorul,2020-01
ur112234773,Morejambo54,2020-01
ur112723345,danielfeerst,2020-01
ur11305442,Trevizolga,2006-07
ur113320171,adambarta,2020-02
ur1134867,obadiah,2001-04
ur11423174,disdressed12,2006-07
ur114295310,shiaunmiles,2020-03
ur114801721,mikikg-12538,2020-03
ur1148823,Ben_Cheshire,2001-04
ur115480263,cjyork-03423,2020-03
ur116321187,strikefirst-68052,2020-04
ur116848067,petermiller-25070,2020-04
ur1170042,taimur74,2001-05
ur1173088,MovieAddict2016,2001-05
ur1174539,JoeytheBrit,2001-05
ur118464490,zml-90083,2020-05
ur118573820,merrichanton,2020-05
ur118759456,yaols-53324,2020-05
ur118790459,SteelVengeance,2020-05
ur118977607,auuwws,2020-05
ur119011710,annedxb,2020-05
ur119363845,mtaimoor-96645,2020-06
ur12009777,pinkliz41,2006-08
ur120178076,theajisin,2020-06
