user_id,movie_id,user_rating
ur1174211,tt0012349,
ur4103165,tt0012349,9
ur4445210,tt0012349,9
ur1888886,tt0012349,9
ur0679729,tt0012349,
ur0853359,tt0012349,10
ur15148330,tt0012349,8
ur2483625,tt0012349,9
ur9972457,tt0012349,8
ur0453068,tt0012349,10
ur22131361,tt0012349,10
ur3063013,tt0012349,9
ur0312444,tt0012349,8
ur0137908,tt0012349,
ur2142676,tt0012349,10
ur4234119,tt0012349,9
ur26820801,tt0012349,7
ur64212521,tt0012349,10
ur1234929,tt0012349,8
ur0562732,tt0012349,10
ur2514416,tt0012349,
ur17029428,tt0012349,10
ur2898520,tt0012349,9
ur23853088,tt0012349,10
ur15311310,tt0012349,7
ur3270789,tt0012349,8
ur20552756,tt0012349,9
ur27828904,tt0012349,7
ur14892110,tt0012349,9
ur19257379,tt0012349,10
ur0819382,tt0012349,
ur5560976,tt0012349,8
ur2467618,tt0012349,6
ur15562504,tt0012349,
ur19574884,tt0012349,10
ur34049683,tt0012349,9
ur4888011,tt0012349,10
ur5037232,tt0012349,9
ur13134536,tt0012349,
ur10334028,tt0012349,8
ur2860723,tt0012349,9
ur60028700,tt0012349,9
ur1994077,tt0012349,9
ur4248714,tt0012349,9
ur114635129,tt0012349,10
ur20018357,tt0012349,
ur4405474,tt0012349,8
ur10962105,tt0012349,9
ur2959821,tt0012349,
ur81151113,tt0012349,
ur0935583,tt0012349,6
ur0088197,tt0012349,10
ur18799880,tt0012349,10
ur9987799,tt0012349,9
ur0330035,tt0012349,8
ur13566917,tt0012349,8
ur63945615,tt0012349,10
ur19783225,tt0012349,7
ur99782462,tt0012349,7
ur3032357,tt0012349,8
ur4693077,tt0012349,7
ur17699578,tt0012349,
ur106071934,tt0012349,10
ur4067661,tt0012349,9
ur114600792,tt0012349,9
ur34967775,tt0012349,9
ur114689684,tt0012349,9
ur20597997,tt0012349,9
ur1958825,tt0012349,7
ur4838150,tt0012349,9
ur4202340,tt0012349,10
ur52857391,tt0012349,9
ur56393956,tt0012349,9
ur80538464,tt0012349,10
ur3914439,tt0012349,6
ur28071275,tt0012349,10
ur129306191,tt0012349,8
ur6625713,tt0012349,7
ur6993555,tt0012349,8
ur2914826,tt0012349,10
ur3212364,tt0012349,9
ur7484735,tt0012349,10
ur0222418,tt0012349,
ur2707735,tt0012349,8
ur58223607,tt0012349,9
ur57801497,tt0012349,9
ur9938570,tt0012349,10
ur31527914,tt0012349,
ur157865736,tt0012349,9
ur47006221,tt0012349,9
ur1964495,tt0012349,10
ur41485753,tt0012349,2
ur66111139,tt0012349,8
ur30163554,tt0012349,6
ur65034403,tt0012349,7
ur2263198,tt0012349,6
ur0605876,tt0012349,
ur13017201,tt0012349,
ur50463365,tt0012349,8
ur6201371,tt0012349,8
ur0389355,tt0012349,9
ur114649661,tt0012349,10
ur18876660,tt0012349,9
ur82294898,tt0012349,10
ur55640799,tt0012349,9
ur39517558,tt0012349,9
ur90418428,tt0012349,7
ur104763420,tt0012349,8
ur5788055,tt0012349,7
ur1803589,tt0012349,4
ur56005872,tt0012349,9
ur0826090,tt0012349,7
ur5718464,tt0012349,8
ur1355003,tt0012349,8
ur1007087,tt0012349,10
ur55157303,tt0012349,9
ur25845421,tt0012349,9
ur114644598,tt0012349,1
ur0850869,tt0012349,10
ur33697153,tt0012349,10
ur1004378,tt0012349,8
ur1908551,tt0012349,7
ur98906416,tt0012349,4
ur86498639,tt0012349,9
ur94289145,tt0012349,9
ur35683824,tt0012349,8
ur83822756,tt0012349,9
ur1438772,tt0012349,3
ur26266323,tt0012349,8
ur0543054,tt0012349,9
ur5805910,tt0012349,10
ur84596117,tt0012349,10
ur87331883,tt0012349,10
ur112093012,tt0012349,6
ur174638476,tt0012349,7
ur60728951,tt0012349,9
ur111092901,tt0012349,10
ur85371862,tt0012349,9
ur59554469,tt0012349,8
ur81864032,tt0012349,9
ur13211310,tt0012349,10
ur147670094,tt0012349,2
ur11040152,tt0012349,9
ur1174211,tt0015324,
